2026-02-22 14:44:58,865 INFO cron.leakage_nightly leakage_nightly start tenants=['mover_a', 'mover_b']
2026-02-22 14:46:08,461 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Third-party or broker policy: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:12,530 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Antique damaged in transit reimbursement: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:16,591 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Reserve a spot for July 15 move: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:20,647 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Track my shipment: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:24,702 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Vehicle shipping: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:28,791 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Discounts for military or seniors?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:32,859 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Pets during the move: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:36,931 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Rural area delivery: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:41,025 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Peak season surcharges: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:45,128 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=High-value item protection: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
